con_year,population,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SnakeFaChin_LGRabv,T,221,138,124,0.6244,0.8986,0.5611,0.3594,,0.033,1.0081,0.9292,0.9058
2009,SnakeFaChin_LGRabv,,523,340,328,0.6501,0.9647,0.6272,0.3594,,0.033,1.0495,0.9976,1.0125
2010,SnakeFaChin_LGRabv,T,865,594,540,0.6867,0.9091,0.6243,0.2950,,0.033,1.0073,0.9401,0.9157
2010,SnakeFaChin_LGRabv,,2673,1940,1889,0.7258,0.9737,0.7067,0.2950,,0.033,1.0646,1.0069,1.0366
2011,SnakeFaChin_LGRabv,T,435,261,228,0.6000,0.8736,0.5241,0.2975,,0.033,0.8832,0.9034,0.7715
2011,SnakeFaChin_LGRabv,,1760,1179,1123,0.6699,0.9525,0.6381,0.2975,,0.033,0.9861,0.9850,0.9392
2012,SnakeFaChin_LGRabv,T,526,401,316,0.7624,0.7880,0.6008,0.2538,,0.033,1.0565,0.8149,0.8326
2012,SnakeFaChin_LGRabv,,2500,2007,1939,0.8028,0.9661,0.7756,0.2538,,0.033,1.1126,0.9991,1.0749
2013,SnakeFaChin_LGRabv,T,836,550,434,0.6579,0.7891,0.5191,0.2598,,0.033,0.9191,0.8160,0.7253
2013,SnakeFaChin_LGRabv,,3922,2727,2513,0.6953,0.9215,0.6407,0.2598,,0.033,0.9714,0.9530,0.8952
2014,SnakeFaChin_LGRabv,T,653,395,337,0.6049,0.8532,0.5161,0.3210,,0.033,0.9213,0.8823,0.7860
2014,SnakeFaChin_LGRabv,,3261,2335,2244,0.7160,0.9610,0.6881,0.3210,,0.033,1.0906,0.9938,1.0481
2015,SnakeFaChin_LGRabv,T,245,119,103,0.4857,0.8655,0.4204,0.2853,,0.033,0.7028,0.8951,0.6083
2015,SnakeFaChin_LGRabv,,1873,1318,1268,0.7037,0.9621,0.6770,0.2853,,0.033,1.0182,0.9949,0.9796
2016,SnakeFaChin_LGRabv,T,45,31,27,0.6889,0.8710,0.6000,0.3129,,0.033,1.0368,0.9007,0.9030
2016,SnakeFaChin_LGRabv,,372,234,225,0.6290,0.9615,0.6048,0.3129,,0.033,0.9467,0.9944,0.9103
2017,SnakeFaChin_LGRabv,T,23,13,12,,,,0.3892,,0.033,,,
2017,SnakeFaChin_LGRabv,,127,79,76,0.6220,0.9620,0.5984,0.3892,,0.033,1.0532,0.9949,1.0132
2018,SnakeFaChin_LGRabv,T,57,41,36,0.7193,0.8780,0.6316,0.2976,,0.033,1.0590,0.9080,0.9299
2018,SnakeFaChin_LGRabv,,54,34,33,0.6296,0.9706,0.6111,0.2976,,0.033,0.9270,1.0037,0.8997
2019,SnakeFaChin_LGRabv,T,44,33,27,0.7500,0.8182,0.6136,0.2409,,0.033,1.0217,0.8461,0.8359
2019,SnakeFaChin_LGRabv,,84,62,61,0.7381,0.9839,0.7262,0.2409,,0.033,1.0055,1.0174,0.9892
2020,SnakeFaChin_LGRabv,T,89,63,52,0.7079,0.8254,0.5843,0.2744,,0.033,1.0088,0.8536,0.8327
2020,SnakeFaChin_LGRabv,,217,171,164,0.7880,0.9591,0.7558,0.2744,,0.033,1.1231,0.9918,1.0771
2021,SnakeFaChin_LGRabv,T,126,88,79,0.6984,0.8977,0.6270,0.2028,,0.033,0.9060,0.9284,0.8133
2021,SnakeFaChin_LGRabv,,322,271,265,0.8416,0.9779,0.8230,0.2028,,0.033,1.0918,1.0112,1.0676
2022,SnakeFaChin_LGRabv,T,113,72,61,0.6372,0.8472,0.5398,0.3684,,0.033,1.0432,0.8761,0.8838
2022,SnakeFaChin_LGRabv,,496,370,359,0.7460,0.9703,0.7238,0.3684,,0.033,1.2213,1.0034,1.1850
2023,SnakeFaChin_LGRabv,T,89,63,58,0.7079,0.9206,0.6517,0.3143,,0.033,1.0675,0.9521,0.9828
2023,SnakeFaChin_LGRabv,,462,347,336,0.7511,0.9683,0.7273,0.3143,,0.033,1.1327,1.0013,1.0968
2024,SnakeFaChin_LGRabv,T,102,72,69,0.7059,0.9583,0.6765,0.2615,,0.033,0.9885,0.9910,0.9473
2024,SnakeFaChin_LGRabv,,520,384,375,0.7385,0.9766,0.7212,0.2615,,0.033,1.0341,1.0099,1.0099
